Date,Timestamp, Ticker,  Message ,  Price , % of Vol , Block Type , Value , SecurityType, Industry, Sector,  30DayAverage , Float, EarningsDate
11/15/2019,10:34:57 AM,BSCM," 646,400 ", $21.50 ,280%,DARK BLOCK,$13.0M,ETF/Fund,ETFs,Miscellaneous," 230,600 ",68,N/A
11/15/2019,4:26:59 PM,DBC," 2,000,000 ", $15.58 ,182%,DARK BLOCK,$31.0M,ETF/Fund,ETFs,Miscellaneous," 1,097,690 ",88,N/A
11/15/2019,11:21:11 AM,DGRW," 302,148 ", $47.42 ,132%,DARK BLOCK,$14.0M,ETF/Fund,ETFs,Miscellaneous," 229,348 ",65,N/A
11/15/2019,11:22:26 AM,DLS," 204,350 ", $67.91 ,366%,DARK ISOBB,$13.0M,ETF/Fund,ETFs,Miscellaneous," 55,770 ",24,N/A
11/15/2019,10:32:40 AM,DRSK," 250,856 ", $27.42 ,1289%,DARK BLOCK,$6.8M,ETF/Fund,,," 19,461 ",5,N/A
11/15/2019,1:11:23 PM,EEM," 2,000,000 ", $43.20 ,3%,BLOCK,$86.0M,ETF/Fund,ETFs,Miscellaneous," 57,269,430 ",623,N/A
11/15/2019,1:51:39 PM,EEM," 2,000,000 ", $43.20 ,3%,BLOCK,$86.0M,ETF/Fund,ETFs,Miscellaneous," 57,269,430 ",623,N/A
11/15/2019,1:28:12 PM,EEM," 1,650,000 ", $43.20 ,3%,BLOCK,$71.0M,ETF/Fund,ETFs,Miscellaneous," 57,269,430 ",623,N/A
11/15/2019,9:33:24 AM,EEM," 1,150,000 ", $43.08 ,2%,BLOCK,$49.0M,ETF/Fund,ETFs,Miscellaneous," 57,269,430 ",623,N/A
11/15/2019,1:13:06 PM,EEM," 1,000,000 ", $43.20 ,2%,BLOCK,$43.0M,ETF/Fund,ETFs,Miscellaneous," 57,269,430 ",623,N/A
11/15/2019,2:04:09 PM,EEM," 904,000 ", $43.17 ,2%,BLOCK,$39.0M,ETF/Fund,ETFs,Miscellaneous," 57,269,430 ",623,N/A
11/15/2019,10:05:49 AM,EEM," 900,000 ", $43.05 ,2%,DARK BLOCK,$38.0M,ETF/Fund,ETFs,Miscellaneous," 57,269,430 ",623,N/A
11/15/2019,11:41:23 AM,EEM," 750,000 ", $43.20 ,1%,DARK ISO,$32.0M,ETF/Fund,ETFs,Miscellaneous," 57,269,430 ",623,N/A
11/15/2019,2:40:53 PM,EEM," 500,000 ", $43.18 ,1%,DARK BLOCK,$21.0M,ETF/Fund,ETFs,Miscellaneous," 57,269,430 ",623,N/A
11/15/2019,5:14:22 PM,EEM," 348,392 ", $43.13 ,1%,DARK BLOCK,$15.0M,ETF/Fund,ETFs,Miscellaneous," 57,269,430 ",623,N/A
